,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,171200,168083.3333,155330.4348,154145,160823.8095,184253.8462,192321.0526,213295,236552.9412,253163.1579,280520
Alaska,258107.1429,265940,262535,273909.5238,290511.7647,291963.1579,294361.5385,280500,293808.6957,321834.7826,335200
Arizona,130421.0526,146070,162346.6667,188385,198300,209960.8696,236164.7059,246819.0476,281029.4118,357350,369257.1429
Arkansas,126461.5385,123310,128475,132904.3478,147565,150168,152887.5,167189.4737,178729.6296,200694.1176,240009.0909
California,327212.5,400441.6667,443940.9091,485573.0769,512895.4545,561210.5263,595785,573856.25,614850,736347.619,843263.6364
Colorado,240182.3529,269225,293073.3333,322273.6842,338512.5,382776.4706,418352.381,459290.9091,458450,558656.5217,629716.6667
Columbia,418730.4348,484034.6154,518041.3793,581670.8333,568215.3846,610308.3333,630504.3478,683163.1579,771884,750700,823950
Connecticut,159825,176363.6364,171375,161600,402207.1429,315751.8519,361366.6667,259773.3333,291464.2857,376963.1579,638287.5
Delaware,130290.9091,177721.4286,162528.5714,175591.3043,156070,159033.3333,188053.8462,185876.4706,192994.4444,234990,238890
Florida,130193.75,146752.381,167682.1429,182240,201640.9091,209183.3333,220942.1053,242979.1667,277255.5556,321883.3333,362957.1429
Georgia,106860,137736,158948.1481,170006.6667,188550,208215.7895,228348,234244.4444,251738.8889,299395.4545,323670
Hawaii,394730.7692,515166.6667,505120.8333,502333.3333,554017.6471,605100,579253.5714,549238.0952,606609.5238,799736.3636,698044.4444
Idaho,142400,166825,191133.3333,184200,200404.3478,219337.5,254139.1304,314131.5789,348290.9091,446042.1053,482945.4545
Illinois,140641.6667,152630.7692,172586.9565,187200,197226.087,209192,218736.3636,223126.3158,236294.7368,264354.1667,280533.3333
Indiana,119063.6364,122583.3333,118063.6364,130525,130200,141019.0476,157870.8333,151527.7778,182306.25,209478.2609,245120
Iowa,130178.9474,145256.25,144971.4286,154058.3333,151168,165361.9048,189425,189136.8421,198300,231445,245180
Kansas,123350,126173.913,134536.3636,143780.9524,151660.8696,162852.1739,169150,177536.8421,174713.0435,238852.1739,236250
Kentucky,121261.1111,132757.8947,135726.3158,135036,137996.5517,149810.5263,154110,172372,181655,198156,241866.6667
Louisiana,149680,162147.619,166273.913,172490.4762,179113.6364,185892.8571,198053.8462,215013.0435,219368.1818,226090,227644.4444
Maine,129120,129033.3333,130637.5,130844,175368.1818,220144.4444,227456.25,256007.6923,276868.4211,308866.6667,339614.2857
Maryland,200419.0476,211770.5882,213673.3333,223500,228122.7273,213984.6154,230583.3333,271412.5,265268.4211,308800,284100
Massachusetts,292504.7619,313782.6087,328454.5455,349434.7826,374185,374125,430716.6667,423338.8889,468126.087,525471.875,533820
Michigan,93580,117744.4444,109284.6154,114953.8462,127108.3333,140060,158312.5,160222.7273,188325,219833.3333,196250
Minnesota,131164.2857,162968.75,174170.5882,185238.4615,194896,209900,229671.4286,244519.0476,257003.4483,286777.7778,271616.6667
Mississippi,88741.17647,97159.09091,111300,131976,124744,130488.8889,141753.3333,149933.3333,166096.2963,192525,227677.7778
Missouri,104157.1429,115168.1818,121634.7826,130184.2105,136127.7778,152688.2353,161062.5,166888.8889,174050,199788.8889,225940
Nebraska,131733.3333,137940,141773.6842,158436.3636,163004.1667,168110.5263,182273.3333,192494.1176,205920,239385.7143,286533.3333
Nevada,99518.75,138203.8462,152523.0769,164441.1765,184125.8065,215468.1818,249681.8182,275354.5455,273431.5789,324715,371990
New Hampshire,174430,178865.2174,196142.8571,218172.2222,208014.2857,229226.9231,241444,264620.8333,275988.8889,342628.5714,381075
New Jersey,259020,231679.1667,232952.381,226064.7059,266450,294323.5294,301260.8696,322500,351004.3478,392485,403575
New Mexico,293261.1111,276555.5556,278657.1429,252755,276590,288822.2222,341573.913,430294.1176,373986.6667,484594.4444,459150
New York,197152.9412,181564.7059,196781.8182,196425,376795.8333,479764,463023.5294,476289.4737,455950,574846.6667,641222.2222
North Carolina,162815.7895,164664.7059,171910.5263,163854.1667,179900,201640,201810,210468.4211,240100,282000,338988.8889
Ohio,89600,109795.2381,101355.5556,111296.5517,125941.1765,129777.2727,135217.6471,151525,171781.8182,204445.4545,200733.3333
Oklahoma,112309.5238,128981.8182,113447.619,131550,124764.7059,132566.6667,120000,127900,156633.3333,186800,199358.3333
Oregon,199940.9091,229754.5455,243200,262935,288750,310929.4118,325157.1429,341300,390016,437274.0741,467122.2222
Pennsylvania,157965,169909.5238,158910,161000,176028,184086.9565,185378.5714,204172.2222,212813.0435,237964.2857,231516.6667
Rhode Island,177736.3636,172881.25,197060,192190.9091,202661.5385,229487.5,263976.4706,273488.8889,299957.1429,341500,389537.5
South Carolina,155133.3333,166123.8095,159204.5455,189378.2609,203087.5,201956.25,233791.3043,232758.8235,262665.3846,300423.8095,334000
South Dakota,130808.6957,133381.25,135000,156263.1579,160964.7059,197447.619,172326.6667,209517.6471,214868.75,235415,255057.1429
Tennessee,112015.7895,114852.6316,152226.3158,160559.2593,183240,199857.1429,217104.7619,230785.7143,256865.2174,303036,336611.1111
Texas,155788.8889,173869.5652,176551.7241,186727.7778,205475,227618.5185,236708,240404,258332,315519.2308,355112.5
Utah,182619.0476,210400,212215.7895,223422.2222,262481.25,275626.3158,291365,326235,358547.619,457687.5,531800
Vermont,224014.2857,219817.6471,208278.5714,188105,207041.6667,204916.6667,232752.381,234904,264955,295346.1538,348233.3333
Virginia,257560,264404.3478,276434.7826,253513.0435,297931.5789,289034.6154,285117.6471,314946.6667,304314.2857,340194.1176,373214.2857
Washington,239122.2222,270552.1739,280328,312581.8182,333405.2632,385072.7273,426162.963,439672.7273,487013.6364,513468.4211,580637.5
West Virginia,119583.3333,142518.1818,146950,170000,156550,165212.5,168978.9474,179128.5714,196030.7692,221806.6667,274016.6667
Wisconsin,115818.75,110334.7826,121488.2353,129693.1034,154525.9259,155804,177635,192862.5,210194.4444,228873.913,241050
